Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
“Tôi đã nêu gương cho anh em, để anh em cũng làm như tôi đã làm cho anh em”.—GIĂNG 13:15.        “I set the pattern for you, that, just as I did to you, you should do also.” —JOHN 13:15.
Họ sẽ không cung cấp thiết bị cho anh và cho dù họ có cung cấp, thì anh cũng sẽ chết nếu làm thế.        They won't give you the equipment and even if they did you'd kill yourself.
Bất cứ nơi nào các anh chị em đang sống, chúng tôi cũng thấy nỗ lực của các anh chị em để làm cho thế giới này thành một chỗ tốt đẹp hơn.        Wherever you live, we observe your efforts to make this world a better place.
Em cũng ước gì anh nói cho em biết trước rất nhiều chuyện... nhưng anh đã không làm thế.        I wish you talked to me about a lot of things, but you didn't.
+ 21 Chúa Giê-su trả lời: “Quả thật tôi nói với anh em, nếu anh em có đức tin và không nghi ngờ gì thì anh em không những làm được như thế, mà ngay cả khi bảo núi này: ‘Hãy cất lên và lao xuống biển’, điều đó cũng sẽ xảy ra.        + 21 In answer Jesus said to them: “Truly I say to you, if you have faith and do not doubt, not only will you do what I did to the fig tree, but even if you say to this mountain, ‘Be lifted up and thrown into the sea,’ it will happen.
Anh phải cẩn thận nếu không thế nào cổ cũng làm chủ cửa hàng còn anh thì làm công cho cổ. Cô Goodnight.        Be careful, or she'll end up owning your store and you workin'for her.
Anh Paul, được đề cập ở trên, đã thay thế anh Peter để làm giám thị một ban của Bê-tên. Anh Paul nói: “Tôi dành thời gian để xin lời khuyên của anh Peter và khuyến khích những người khác trong ban cũng làm thế”.        Paul, mentioned earlier, who replaced Peter as the overseer of a Bethel department, said, “I took time to seek out the advice of Peter, and I encouraged others in the department to do the same.”
Và tôi có thể đảm bảo với các anh em rằng từ thông tin mà tôi đã nhận được, thì tôi cảm thấy hài lòng rằng các anh em đã không chểnh mang trong bổn phận của mình; nhưng sự siêng năng và trung tín của các anh em như vậy cần phải bảo đảm cho các anh em có sự chấp thuân của Thượng Đế mà các anh em chính là tôi tớ của Ngài, và cũng như thiện chí của Các Thánh Hữu trên khắp thế gian.        And I can assure you, that from the information I have received, I feel satisfied that you have not been remiss in your duty; but that your diligence and faithfulness have been such as must secure you the smiles of that God whose servants you are, and also the good will of the Saints throughout the world.
5 Còn về người giúp anh em nhận được thần khí và thực hiện những việc phi thường+ giữa anh em, người làm thế vì những việc làm của anh em dựa trên luật pháp hay vì đức tin của anh em nơi những gì mình đã nghe?        5 Therefore, does the one who supplies you the spirit and performs powerful works+ among you do it because of your works of law or because of your faith in what you heard?
Anh biết là anh cũng phải làm thế vào lúc nào đó chứ?        You realize that you have to let it go, too, at a certain point?
Tôi không biết người nào trong số cử tọa đông đảo ngày hôm nay có thể cần nghe sứ điệp về sự tha thứ vốn có trong chuyện ngụ ngôn này, nhưng cho dù các anh chị em nghĩ là đã trễ rồi, cho dù các anh chị em nghĩ mình đã bỏ lỡ nhiều cơ hội rồi, cho dù các anh chị em nghĩ mình đã phạm phải nhiều lỗi lầm rồi, hay các anh chị em nghĩ mình không có tài năng, hay cho dù các anh chị em cảm thấy mình phải hành trình một quãng đường bao xa từ mái gia đình mình đến Thượng Đế, thì tôi cũng làm chứng rằng các anh chị em không hành trình một mình vượt quá tầm với của tình yêu thiêng liêng.        I do not know who in this vast audience today may need to hear the message of forgiveness inherent in this parable, but however late you think you are, however many chances you think you have missed, however many mistakes you feel you have made or talents you think you don’t have, or however far from home and family and God you feel you have traveled, I testify that you have not traveled beyond the reach of divine love.
15 Hơn nữa, chúng ta cũng bị xem là kẻ làm chứng dối về Đức Chúa Trời,+ vì chúng ta làm chứng nghịch lại ngài khi nói rằng ngài đã làm Đấng Ki-tô sống lại,+ trong khi ngài không làm thế nếu quả thật người chết không sống lại.        15 Moreover, we are also found to be false witnesses of God,+ because we have given witness against God by saying that he raised up the Christ,+ whom he did not raise up if the dead are really not to be raised up.
Anh ta sau đó cho tôi biết anh đã cảm thấy bàng hoàng và không biết phải làm gì, thế là anh rút điện thoại ra, như ai cũng sẽ làm, chụp 1 bức ảnh rồi đưa lên Twitter.        He later he told me how overwhelmed he felt, and didn't know what to do, so he took out his phone, like any one of us might, and snapped that picture and tweeted it out.
6 Nhưng Đức Chúa Trời, đấng an ủi những người ngã lòng,+ đã an ủi chúng tôi qua sự hiện diện của Tít; 7 không chỉ qua sự hiện diện của anh ấy thôi, mà cũng qua sự an ủi anh ấy nhận được bởi anh em, vì anh ấy có kể cho chúng tôi về việc anh em mong mỏi được gặp tôi, về nỗi buồn rầu của anh em và lòng quan tâm chân thành* của anh em đối với tôi; vì thế, tôi càng vui mừng hơn.        6 But God, who comforts those who are downhearted,+ comforted us by the presence of Titus; 7 and not only by his presence but also by the comfort he received because of you, as he reported back to us about your longing for me, your deep sorrow, and your earnest concern* for me; so I rejoiced even more.
8 Giờ đây, tính chất của giáo lễ này nằm ở trong aquyền năng của chức tư tế, qua sự mặc khải của Chúa Giê Su Ky Tô, mà qua đó được thiết lập rằng bất cứ những gì các anh chị em ràng buộc dưới thế gian cũng sẽ được bràng buộc trên trời, và bất cứ những gì các anh chị em cởi bỏ dưới thế gian cũng sẽ được cởi bỏ trên trời.        8 Now, the nature of this ordinance consists in the apower of the priesthood, by the revelation of Jesus Christ, wherein it is granted that whatsoever you bbind on earth shall be bound in heaven, and whatsoever you loose on earth shall be loosed in heaven.
ngay cả khi thế giới của anh đã dừng lại thì thế giới ngoài kia vẫn tiếp tục đi tới, và anh cũng sẽ vậy và nếu anh chết ở đây, những gì tươi sáng, đẹp đẽ, người phụ nữ        Even when your world stops the world around you keeps moving forward and you will too.
(Công-vụ 24:5; 25:11, 12) Phao-lô đặc biệt nêu ra năm tín đồ Đấng Christ đã kề cạnh bên ông: Ti-chi-cơ ở địa hạt A-si, người đại diện riêng của ông và “bạn cùng làm việc” với ông trong Chúa; Ô-nê-sim, một “anh em trung-tín và rất yêu” ở Cô-lô-se; A-ri-tạc, người Ma-xê-đoan ở Tê-sa-lô-ni-ca và có lần là “bạn đồng-tù” với Phao-lô; Mác, anh em chú bác của Ba-na-ba (người cùng làm giáo sĩ với Phao-lô) cũng là người viết sách Phúc Âm mang tên ông; và Giúc-tu, một trong những người đồng làm việc với sứ đồ “vì nước Đức Chúa Trời”.        (Acts 24:5; 25:11, 12) Paul singles out for mention five Christians who stood by his side: Tychicus, his personal envoy from the district of Asia and a “fellow slave in the Lord”; Onesimus, a “faithful and beloved brother” from Colossae; Aristarchus, a Macedonian from Thessalonica and at one time a “fellow captive” with Paul; Mark, the cousin of Paul’s missionary companion Barnabas and the writer of the Gospel bearing his name; and Justus, one of the apostle’s fellow workers “for the kingdom of God.”
Làm thế nào anh có thể ngồi ở đó và nói tôi không nên làm điều gì đó Anh có biết trong thâm tâm của anh cũng sẽ làm như thế?        How can you sit there and tell me not to do something you know in your heart you would do too?
BG: Tôi tò mò về mối quan hệ của anh và Ed Snowden, bởi vì anh trò chuyện khá nhiều với anh ấy, và chắc rằng anh sẽ tiếp tục làm thế, nhưng trong sách của anh, anh chưa bao giờ gọi anh ấy là Edward, hay là Ed, mà là "Snowden".        BG: I'm curious about your relationship with Ed Snowden, because you have spoken with him a lot, and you certainly continue doing so, but in your book, you never call him Edward, nor Ed, you say "Snowden."
Chồng nói: “Tôi thấy bà xã tôi phí tiền vào những thứ mà tôi nghĩ là không cần thiết.        He says: “I think my wife, Laura,* spends money on unnecessary items —at least on things that I don’t think we need.
Khi chọn kết hợp với Chúa Giê-su cùng các sứ đồ, Gian-nơ có thể bị xã hội lên án và bà phải điều chỉnh cuộc sống thường ngày.        Joanna risked social disapproval by associating with Jesus and the apostles.
Bà đã có bài xã luận chưa?        Have you got the editorial?
Dự kiến vào ngày 26 tháng Năm năm 2016, Tòa án Nhân dân Thị xã La Gi, tỉnh Bình Thuận sẽ xử vụ án Nguyễn Đình Quý, 42 tuổi, cùng vợ là Huỳnh Thị Kiều, 39 tuổi, bà Trần Thị Lụa, 37 tuổi, và ông Nguyễn Minh Quyết, 35 tuổi, về tội “tổ chức người khác trốn đi nước ngoài trái phép” theo điều 275 bộ luật hình sự.        On May 26, 2016, the People’s Court of La Gi commune, in Binh Thuan province, is scheduled to hear the case of Nguyen Dinh Quy, 42, his wife Huynh Thi Kieu, 39, Tran Thi Lua, 37, and Nguyen Minh Quyet, 35, for “organizing for others to flee abroad illegally” under article 275 of the penal code.
Ừ. Tôi sẽ nói với bà xã.        Yeah, I'll talk to the missus.
Chừng một giờ sau khi bà về nhà, sau khi tôi cho bà về nhà, bà quỵ ngã và gia đình bà gọi cấp cứu và mọi người đưa bà quay lại phòng cấp cứu và huyết áp bà chỉ là 50, trong ngưỡng sốc nghiêm trọng.        About an hour after she had arrived home, after I'd sent her home, she collapsed and her family called 911 and the paramedics brought her back to the emergency department where she had a blood pressure of 50, which is in severe shock.
Tôi vừa giải thoát cho bà xã và đám bạn ngậm cặc của nó khỏi nhà thổ.        I emancipated my wife and her fellow cum guzzlers.
“Những dự án này đáp ứng các lĩnh vực giảm nghèo ở Việt Nam bao gồm cơ hội sinh kế hạn hẹp, các vùng sâu vùng xa và thiếu kết nối, sản lượng nông nghiệp thấp và các chương trình hỗ trợ xã hội còn manh mún và thiếu hiệu quả,” bà Victoria Kwakwa, Giám đốc Quốc gia Ngân hàng Thế giới tại Việt Nam nhấn mạnh.        “These projects respond to different drivers of poverty in Vietnam including limited livelihood opportunities, remoteness and lack of connectivity, low productivity agriculture and fragmented and ineffective social assistance programs,“ noted Victoria Kwakwa, Country Director for the World Bank in Vietnam.
Bà ấy thường kể về những chiến binh... và nhiều loại người xung quanh chúng ta và cách mà họ... họ phải giành được sự tôn trọng của những người quanh họ... và họ phải sống như thế nào, ừm, những gì tác động đến họ xã hội của họ, điều này thực sự rất nặng nề.        She always spoke of the warrior societies of our tribe... and of the different tribes around us and how that these men... always had to work to gain the respect of the people around them... and how they had to live, uh, more or less a life dictated to them... by the society that they belonged to, and it was extremely hard.
“Ông/bà nghĩ xã hội sẽ tốt hơn nếu mọi người sống theo những lời này không?        “Do you think our community would be a better place if everyone lived by these words?
Ngồi đi, bà xã.        Sit, wife.
Bà đã chấp bút cho ra hơn 700 bài viết về các vấn đề xã hội, bao gồm ngược đãi trẻ em, tham nhũng, chính sách thuế bất công nhằm vào người nghèo, và những nỗi oan ức của nông dân do bị quan chức địa phương cưỡng chiếm đất đai.        She has authored more than 700 articles about social issues, including the mistreatment of children, official corruption, unfair taxation of poor people, and peasant grievances connected to illegal land confiscations by local officials.
Không biết bà có thật sự biết Chủ nghĩa Quốc xã phục vụ cho cái gì không?        I wonder if you really know what Nazism stands for.
Và trong đoạn video này, bà Gabby đang tập luyện với một vị bác sĩ trị liệu về ngôn ngữ, và bà ấy rất khó khăn để có thể phát âm một vài từ đơn giản, và các bạn có thể nhìn thấy bà ấy càng lúc càng cảm thấy tồi tệ và kinh khủng, và cuối cùng bà ấy đã òa khóc nức nở và thổn thức trong vòng tay vị bác sĩ trị liệu của bà.        And in this session, Gabby's working with a speech therapist, and she's struggling to produce some of the most basic words, and you can see her growing more and more devastated, until she ultimately breaks down into sobbing tears, and she starts sobbing wordlessly into the arms of her therapist.
Bà Victoria Kwakwa, Giám đốc Ngân hàng Thế giới tại Việt Nam cho biết: “Chiến lược Phát triển Kinh tế Xã hội 10 năm giai đoạn 2011-2020 của Việt Nam chỉ ra rằng Việt nam đang đối mặt với những khó khăn lớn về cơ sở hạ tầng cản trợ sự bền vững về mặt môi trường, cũng như mức đói nghèo cao tại một số cộng đồng vùng sâu vùng xa.        “Vietnam’s 10 year Socio Economic Development Strategy 2011-2020, recognizes that the country faces huge infrastructure gaps constraints to environmental sustainability and significant level of poverty in some remote communities,” said Victoria Kwakwa, Country Director for the World Bank in Vietnam.
16 Trong xã hội Do-thái thời đó dưới sự chủ quyền của người đàn ông, Giê-su tỏ ra là thầy dạy khác thường khi ngài sẵn sàng nói chuyện với đàn bà, ngay đến những đàn bà không phải người Do-thái (Giăng 4:7-30).        16 In that male-dominated Jewish society, Jesus was an unusual teacher in that he was willing to talk to women, even non-Jewish women.
Tôi bắt đầu học Kinh Thánh với một bà có chồng bị ở tù vì hợp tác với Đức Quốc Xã.        I started a Bible study with a woman whose husband was in prison for his collaboration with the Nazis.
Các nhóm đang cố gắng để giúp những lao động tình dục tự bảo vệ mình trước HIV và các mối nguy hiểm nghề nghiệp khác, và các tổ chức phi chính phủ đang giúp đỡ các bà mẹ đơn thân như Faiza tìm được nơi ở trong xã hội, và quan trọng hơn, ở lại với con cái mình.        Groups that are trying to help sex workers protect themselves against HIV and other occupational hazards, and NGOs that are helping unwed mothers like Faiza find a place in society, and critically, stay with their kids.
Bà xã, đi thôi!        Baby, let's go.
Marianne nói, " Tôi sẽ thực hiện cái này, tôi sẽ học, " và bà đã làm được, các thành viên trong gia đình bà và một số bạn thân của bà cũng vậy; thời gian trôi qua bà gần như bị mù và điếc hoàn toàn, bà có khoảng mười người những người mà bà có thể giao tiếp, điều này quả thật rất có ích.        So Marianne said, " I'm going to do this, I'm going to learn it, " and she did, and so did her family members and some of her close friends; so by the time she was almost completely blind and deaf, she would have about a dozen people who she could communicate with, which was very helpful indeed.
Bà xã à, mấy thứ này là sao chứ?        Honey what is all this?
Chẳng hạn, trong một cuốn sách nói về các mối quan hệ xã hội (Alone Together), bà Sherry Turkle đã viết về một thanh niên chưa bao giờ nhận được bức thư nào trong đời.        For example, in her book Alone Together, Sherry Turkle writes of one young man who says he cannot remember ever receiving a personal letter in his life.
2 Nhiều nhà tâm lý học về con trẻ cho rằng: “Chớ động đến con trẻ”; một người còn nói: “Hỡi các bà mẹ, các bà có nhận thấy rằng mỗi khi bà đánh đòn con bà là bà chứng tỏ bà ghét nó không?”        2 Many child psychologists put a “hands off” sign on children, as did one who said: “Do you mothers realize that every time you spank your child you show that you are hating your child?”
Thường thì khi nói xong, bà xã đều cho tôi biết là cô ấy cảm thấy dễ chịu hơn nhiều”.        “More often than not, she finishes and tells me she feels a lot better.”
Bà xã, chuyện gì vậy?        Honey, what's going on?!
Nếu như thế hệ ông bà và cha mẹ tập trung dựng xây thành phố, thì thế hệ chúng ta sẽ tập trung cải tạo nó để khám phá lại lịch sử và xây dựng một xã hội thú vị hơn, tuyệt vời hơn, và đúng đắn hơn.        If my grandparents and my parents were really focused on building the city up and out, I think my generation is focused on reclaiming the spaces that we already have, rediscovering our shared history, and reimagining how we can make our communities more interesting, more beautiful and more just.
Lý do điều đó hợp lý là, khi ông bà bạn được nhận Bảo hiểm xã hội, họ nhận vào năm 65 tuổi và thanh toán lúc 68 tuổi.        The reason why that's reasonable is, when your grandparents were given Social Security, they got it at 65 and were expected to check out at 68.
“Các chính phủ trên thế giới đang ngày càng tập trung vào việc xây dựng hệ thống trợ giúp xã hội năng động, có thể bảo vệ người dân khỏi rủi ro cực đoan, để tạo khả năng chống chọi với các cú sốc và tạo điều kiện cho người nghèo.” Bà Victoria Kwakwa, Giám đốc Ngân hàng Thế giới tại Việt Nam nói.        According to Victoria Kwakwa, the World Bank Country Director to Vietnam, "Governments around the world are increasingly focusing on building robust social assistance systems that can protect the vulnerable against extreme deprivation, help build resilience to shocks, and provide opportunities to the poor."
Thường xuyên nói “chúng tôi” và những câu như “vợ chồng tôi”, “bà xã và tôi” hay “ông xã và tôi”.        Frequently talk about “we,” and use phrases such as “my wife and I” or “my husband and I.”
Trước khi nhận nhiệm vụ tại Hà Nội, bà Kwakwa là giám đốc quốc gia tại Rwanda. Tại đó bà đã cùng với chính phủ xây dựng và thí điểm thực hiện các chương trình an sinh xã hội, cấp vốn y tế và nâng cao năng suất ngành nông nghiệp.        Before moving to Hanoi, Kwakwa was the Country Manager for Rwanda, where she worked with the government to design and pilot programs in social protection, health financing and agriculture productivity.
Trước kia, ngay cả khi khi bà chỉ bị khiếm thị, bà sẽ vẫn có thể nói chuyện với bất kỳ ai trên thế giới, và bà đã làm được, bây giờ bà chỉ có một vài người nói bằng ngôn ngữ của bà, và thậm chí họ không phải lúc nào cũng có thể chạm tới.        Before, even when she was only visually impaired, she would be able to talk to anybody in the world, and she did, and now she only had these few people who spoke her language, and even these few people were not always reachable to her.
Không, nếu tôi 25 tuổi và cô ta mới chỉ 18 bà biết đấy, xã hội cho rằng thế là tệ lắm, nhưng mà...        No, but if I'm 25 and the girl is 18 years old you know, in society, that might look bad.
Bà có thể đã kèm vào các đoạn văn đầy cảm xúc với hy vọng giúp tác phẩm của bà phù hợp hơn với một xã hội tin rằng phụ nữ không nên viết về chiến trận và đế chế.        She may have included these emotional passages in hopes that they would make her writing more palatable to a society that believed women shouldn't write about battles and empires.
Bà Victoria Kwakwa, Giám đốc Ngân hàng Thế giới tại Việt Nam nói: “Bằng việc cải thiện tốc độ và chất lượng của công tác chuẩn bị dự án, việc khởi động và giải ngân các dự án sẽ được đẩy nhanh, nhờ đó cho phép những người hưởng lợi nhanh chóng thấy được lợi ích kinh tế và xã hội từ các khoản đầu tư được dự án này hỗ trợ.”        “By improving the speed and quality of preparation work, the project is expected to accelerate project start-up and disbursements, thus enabling beneficiaries to quickly realize the economic and social benefits from investments supported through the project,” says Victoria Kwakwa, the World Bank Country Director for Vietnam.
Tôi sẽ mang hoa này về cho bà xã nhà tôi trước khi chúng héo rũ.        With your permission, I'll take these flowers to my missis before they wilt.
29 Ông Michael Grant cũng trích ra một câu hỏi rất thích hợp: “Tại sao tất cả những sách Phúc Âm đều miêu tả hình ảnh rõ rệt rất đáng chú ý của một người đàn ông trẻ có sức lôi cuốn người khác, đi giữa những người đàn bà thuộc mọi tầng lớp xã hội, gồm cả những người có thành tích bất hảo, mà lại không có một chút gì đa cảm, giả tạo hay kiểu cách, đồng thời lúc nào cũng giữ được tính trung kiên?”        29 Michael Grant quotes a very appropriate question: “How comes it that, through all the Gospel traditions without exception, there comes a remarkably firmly-drawn portrait of an attractive young man moving freely about among women of all sorts, including the decidedly disreputable, without a trace of sentimentality, unnaturalness, or prudery, and yet, at every point, maintaining a simple integrity of character?”
Ngày 22 tháng Tư năm 2016, Tòa án Nhân dân Thị xã La Gi, tỉnh Bình Thuận đã kết án Trần Thị Thanh Loan ba năm tù, chồng bà là Hồ Trung Lợi hai năm tù, Nguyễn Thị Liên ba năm tù và Nguyễn Văn Hải hai năm tù theo điều 275 của bộ luật hình sự.        On April 22, 2016, the People’s Court of La Gi commune, Binh Thuan province sentenced Tran Thi Thanh Loan to three years, her husband Ho Trung Loi to two years, Nguyen Thi Lien to three years, and Nguyen Van Hai to two years in prison under article 275 of the penal code.
Hiếp pháp bảo đảm quyền tự do tín ngưỡng: điều này đòi hỏi xã hội phải chấp nhận thứ thiệt hại mà [bà này] phải chịu vì đó là giá cả phải chăng để bảo vệ quyền bất đồng tín ngưỡng mà tất cả mọi công dân được hưởng”.        The constitutional guarantee of the free exercise of religion requires that society tolerate the type of harms suffered by [her] as a price well worth paying to safeguard the right of religious difference that all citizens enjoy.”
Bà nói: “Cách chăm sóc, giáo dục và những cơ hội giao tiếp với xã hội ảnh hưởng đến sự phát triển [của họ]”.        “[Their] development . . . is influenced by the quality of care, education, and social experience offered to them, just like all other people.”
Vào một dịp nọ, một cựu lính canh Đức Quốc Xã, ông là một trong những người gây ra nỗi đau khổ của Corrie ở Ravensbruck, Đức, đã đến gần bà, vui mừng trước sứ điệp của bà về sự tha thứ và tình yêu thương của Đấng Ky Tô.        On one occasion a former Nazi guard who had been part of Corrie’s own grievous confinement in Ravensbrück, Germany, approached her, rejoicing at her message of Christ’s forgiveness and love.
sinh nhật bà xã tôi.        This is my wife's birthday party.
Nhưng khi làm thiệp cho phép bà kết nối với một ai đó mà bà thương yêu và giúp bà học được nhiều điều mới và tiếp tục với sự sáng tạo của bà và tạo ra cách mới mà bà muốn thể hiện bản thân mình.        But working on this project enabled her to make a connection to someone that she cares about and enabled her to keep on learning new things and continuing to practice her creativity and developing new ways of expressing herself.
Tất cả những người sống trong xã hội này—đàn ông, đàn bà cũng như các người trẻ—đều hợp nhất để sự sáng mà họ nhận được từ Đức Giê-hô-va và đấng Christ chiếu sáng ra cho cả nhân loại.        Unitedly, all its members —men, women, and young ones alike— let their light from Jehovah and Christ shine before all mankind.
Một số xã hội coi trọng bé trai vì người ta cho rằng khi lớn lên, chúng có thể nối dõi tông đường và chăm sóc ông bà, cha mẹ già.        Males are favored in some societies because it is thought that they will grow up to continue the family line and care for their aging parents and grandparents.
Ông bà nội tôi không bao giờ giàu có; họ không bao giờ thuộc vào thành phần ưu tú trong xã hội; họ không bao giờ nắm giữ chức vụ cao trong Giáo Hội—họ chỉ là Các Thánh Hữu Ngày Sau tận tụy.        My grandparents never had wealth; they were never among the socially elite; they never held high position in the Church—they were simply devoted Latter-day Saints.
Bà Dương là một trong nhiều đại diện của hơn 100 xã tại các tỉnh miền Trung Việt Nam, vừa gặp gỡ và trao đổi kinh nghiệm về các hoạt động quản lý rủi ro thiên tại tại cộng đồng.        Duong was among representatives from 100 communes across central Vietnam. They had met to discuss and share lessons following the implementation of disaster risk management activities in their communities.
Nhưng nếu một người đàn bà bị sẩy thai, một số truyền thống của Phi Châu buộc người ta phải đối xử với bà trong một thời gian như là một người bị xã hội ruồng bỏ.        (Romans 3:23) But if a woman miscarries, some African traditions demand that she be treated as an outcast for a period of time.
Một số người dùng nhầm lẫn Mạng xã hội trong ngữ cảnh này (nghĩa là mạng xã hội mà lần truy cập xảy ra) với thứ nguyên Mạng xã hội được đặt tên giống hệt nhau sẽ nhận diện mạng xã hội nào đã giới thiệu lưu lượng truy cập đến thuộc tính của bạn.        Some users confuse Social Network in this context (i.e., the social network on which the hit occurred) with the identically named Social Network dimension that identifies which social network referred traffic to your property.
Lại gây gổ với bà xã à?        You quarrelled with your wife?
“Có giúp ích cho xã hội để đi lại, để sửa xong để bà con đi chợ, đi dạy học, đi cô giáo, thầy giáo đi sạch sẽ hơn.”        The road after maintenance activities will be better for villagers going to the market; and more convenient for teachers going to schools," she said.
Trong nhiều năm sau đó, bà đã giữ chứng ngôn trong lòng mình và sống ngay chính trong một xã hội rất tà ác.        For many years thereafter, she kept her testimony in her heart and lived righteously in a very wicked society.
Tờ báo mạng Việt Nam Net cho biết, tại trụ sở công an xã sáng hôm sau, vợ ông Long được công an thông báo là chồng bà đã "tự tử".        At the police station the next morning, she was informed that he had "committed suicide," the Viet Nam Net reported.
Bà nói có nhiều nhà tài trợ đang đóng góp rất nhiều và những nhóm công tác xã hội đang công tác nhằm phổ cập giáo dục .        She says donors are pumping in a lot of resources and civil society groups are working on access to education .
Mỗi khi nhìn thấy cảnh đẹp trong thiên nhiên, tôi lại nhớ đến bà xã và nghĩ cô ấy sẽ thích ngắm cảnh đẹp này lắm!”.—Ông Etienne, 84 tuổi.        Whenever I see something in nature that is attractive, my thoughts go to her, and I cannot help wondering how she would have enjoyed seeing what I am seeing.” —Etienne, aged 84.
Tòa án Nhân dân Tỉnh Nghệ An dự kiến mở phiên phúc thẩm vào ngày 30 tháng Năm năm 2012 để xử việc kháng án của bà đối với bản án năm năm tù giam vì vi phạm điều 88 bộ luật hình sự, có nội dung cấm “tuyên truyền chống nhà nước Cộng hòa Xã hội Chủ nghĩa Việt Nam.”        The People’s Court of Nghe An is scheduled on May 30, 2012, to hear her appeal against her five-year sentence for violating article 88 of the penal code, which forbids “conducting propaganda against the Socialist Republic of Vietnam.”
Chính quyền Việt Nam đã đáp lại những nỗ lực của bà Khương bằng những hành động đàn áp và truy tố: bà đã phải ra tù vào tội, và hiện đang phải thụ án năm năm tù về tội “tuyên truyền chống nhà nước Xã hội Chủ nghĩa Việt Nam.”        The Vietnamese authorities have reacted to Khuong’s efforts with repression and prosecution: she has been in and out of jail, and is currently serving a five-year sentence for “conducting propaganda against the Socialist Republic of Vietnam.”
Điều này đòi hỏi cần quan tâm hơn đến các biện pháp bảo vệ môi trường và xã hội trong việc thực hiện các chương trình phát triển cơ sở hạ tầng quy mô lớn của đất nước,” bà Victoria Kwakwa, Giám đốc Quốc gia Ngân hàng Thế giới tại Việt Nam cho biết.        This requires attention to environmental and social safeguards in executing the country’s huge infrastructure development program,” said Victoria Kwakwa, the World Bank Country Director for Vietnam.
Đìều phối viên Chương trình Liên hợp quốc, bà Pratibha Mehta cho rằng hệ thống bảo trợ xã hội cần được đánh giá và điều chỉnh lại để xử lý các loại hình nghèo đói mới nổi lên, và tăng cường vai trò hệ thống trong việc giúp người dân không bị tái nghèo.        United Nations Resident Coordinator, Ms Pratibha Mehta said that the social protection system will need to be reviewed and adapted to cover emerging forms of poverty, and to strengthen their role in preventing people from falling back to poverty.
Tôi có thể hình dung các bà có thể chơi trò chơi xã hội với đám cháu gái và bạn bè của chúng, và có thể chia sẻ tất cả các hoạt động khác nhau quanh nhà, giống như kể chuyện đêm khuya.        I could imagine grandmothers being able to do social- plays with their granddaughters, with their friends, and to be able to share all kinds of other activities around the house, like sharing a bedtime story.
Bà ấy thường kể về những chiến binh... và nhiều loại người xung quanh chúng ta và cách mà họ... họ phải giành được sự tôn trọng của những người quanh họ... và họ phải sống như thế nào, ừm, những gì tác động đến họ...... xã hội của họ, điều này thực sự rất nặng nề        She always spoke of the warrior societies of our tribe... and of the different tribes around us and how that these men... always had to work to gain the respect of the people around them... and how they had to live, uh, more or less a life dictated to them... by the society that they belonged to, and it was extremely hard
Nó [đứa con trai này] sẽ an-ủi lòng bà, dưỡng già bà; vì ấy là dâu bà vẫn thương bà, đã sanh nó cho bà; nàng quí cho bà hơn bảy con trai”.        He has become a restorer of your soul and one to nourish your old age, because your daughter-in-law who does love you, who is better to you than seven sons, has given birth to him.”
Đi đi, bà xã        Go, darling
“Khi nước sông Thu Bồn tràn về, cả làng tôi bị chìm trong nước,” bà Hồ Thị Phượng, một người dân xã Duy Tân, tỉnh Quảng Nam cho biết.        “All of my village’s rice field is submerged when water from the Thu Bon River spills over,” Ho Thi Phuong, a villager from Duy Tan commune in Quang Nam province explained.
Và em nữa, bà xã.        And you, too, wife.
Bà Stewart giải thích: “Trong xã hội cạnh tranh hiện nay, cách cư xử là vấn đề sống còn”.        “In today’s competitive society,” explains Stewart, “manners are a matter of survival.”
có người trong nhà - từ bà xã        SOMEPNES IN THR HOUSR FROM'WIFE'
Bà Victoria Kwakwa, Giám đốc Quốc gia của Ngân hàng Thế giới tại Việt Nam phát biểu “Dự án nhằm mục đích cải cách thông quả nâng cao hiệu quả của hệ thống trợ giúp xã hội.        According to Victoria Kwakwa, the World Bank Country Director to Vietnam, "The project aims to support efficiency enhancing reforms to the social assistance system.
Tôi vẫn mê thân hình bà xã anh đấy. "        Your wife's rocking body still drives me crazy. "
Đàn bà không chồng mà đẻ con nay không còn bị xã hội né tránh nữa.        Women bearing children out of wedlock are no longer shunned by society.
Bà xã ơi, tôi là một người ngoan đạo, và tôi chỉ nói sự thật mục sở thị.        and I tell the truth as I see it.
Bà Georgieva cũng gặp các đối tác phát triển và đại diện các tổ chức xã hội tại Việt Nam nhằm thảo luận cách thức giải quyết các vấn đề phát triển, bao gồm biến đổi khí hậu, và tăng trưởng đô thị hóa nhanh.        Georgieva also met with development partners and representatives from civil society organizations to discuss ways to address Vietnam’s development challenges, including climate change and rapid urban growth.
Trong chuyến thăm Việt Nam, bà Cox sẽ tới thăm một trạm y tế xã tại tỉnh Thừa Thiên - Huế được xây dựng từ nguồn tài trợ của Ngân hàng Thế giới trong khuôn khổ dự án Hỗ trợ Y tế khu vực Bắc miền Trung.        As part of her trip to Vietnam, Cox will visit a communal health station in Thua Thien Hue Province, built with World Bank funding through the Central North Region Health Support Project.
